station,date,time (UTC),weather,air temperature (degC),dew point (deg C),sea temperature (deg C),humidity (%),wind direction,wind speed (knots),visibility (nautical miles),air pressure (hPa),wave height (metres),wave period (seconds)
K5,07 Jun 2013,1000,,10.2,8.2,11.3,87,200,6,,1029.1,1.0,6
K5,07 Jun 2013,1100,,10.4,8.3,11.3,87,220,7,,1029.3,1.0,6
K5,07 Jun 2013,1200,,10.4,8.3,11.3,87,250,8,,1029.3,0.9,6
K5,07 Jun 2013,1300,,10.5,8.2,11.3,86,220,8,,1029.1,0.9,7
K5,07 Jun 2013,1400,,10.5,8.2,11.4,86,220,6,,1029.3,1.0,7
k5,07 Jun 2013,1500,,10.6,8.2,11.4,85,210,6,,1029.1,0.8,6
K5,07 Jun 2013,1600,,10.6,8.2,11.4,85,210,7,,1029.1,0.8,7
K5,07 Jun 2013,1700,,10.6,8.0,11.4,84,230,6,,1028.7,0.8,6
K5,07 Jun 2013,1800,,10.7,8.4,11.4,86,220,5,,1028.5,0.8,6
K5,07 Jun 2013,1900,,10.5,8.6,11.4,88,190,6,,1028.3,0.8,6
K5,07 Jun 2013,2000,,10.4,8.5,11.4,88,200,6,,1028.1,0.8,7
K5,07 Jun 2013,2100,,10.5,8.5,11.3,87,180,7,,1028.1,0.8,6
K5,07 Jun 2013,2200,,10.4,8.2,11.4,86,210,8,,1028.1,0.8,6
k5,07 Jun 2013,2300,,10.5,8.1,11.4,85,190,6,,1028.1,0.6,5
K5,08 Jun 2013,0000,,10.4,8.4,11.3,87,210,8,,1027.5,0.7,5
K5,08 Jun 2013,0100,,10.5,8.6,11.4,88,200,8,,1027.5,0.6,6
K5 Bouy,08 Jun 2013,0200,,10.4,8.7,11.4,89,200,8,,1026.9,0.7,5
K5,08 Jun 2013,0300,,10.3,8.6,11.4,89,190,9,,1026.5,0.7,5
K5,08 Jun 2013,0400,,,,,,,,,,,
K5,08 Jun 2013,0500,,10.1,8.2,11.4,88,190,10,,1025.3,0.7,4
K5,08 Jun 2013,0600,,10.2,8.2,11.4,87,200,11,,1025.3,0.8,25
K5,08 Jun 2013,0700,,10.2,7.9,11.3,86,200,10,,1025.1,0.8,4
K5,08 Jun 2013,0800,,10.4,8.3,11.1,87,180,10,,1024.9,0.8,4
K5,08 Jun 2013,0900,,10.5,8.2,11.1,86,190,9,,1024.7,,
